,Volume,Close,EMA9,EMA20,EMA50,EMA100,EMA200,EMA500,MACD,RSI,Target
73,33400,4949.16015625,4975.1555104037,4892.9781834760015,4654.504477028247,4383.539061642653,4129.770567638297,3908.8212032625215,-9.798512467141066,58.07459403761598,-1
74,32600,4865.830078125,4953.290423947959,4890.392649633049,4662.791755502629,4393.089378800719,4137.09454286702,3912.641597972551,-20.22560317474833,51.96291504751934,1
75,23400,4940.22998046875,4950.678335252118,4895.139062093592,4673.671685893458,4403.923846160482,4145.085940256092,3916.743747204073,-22.021078339376245,56.377041114311226,-1
76,26800,4891.1298828125,4938.7686447641945,4894.757235495393,4682.1994583216565,4413.57149045062,4152.509263067599,3920.6335122164814,-26.143593318375068,52.92091108548293,-1
77,31400,4823.72998046875,4915.760911905106,4887.992735016665,4687.749674876444,4421.693440748009,4159.1880761760685,3924.2386877384465,-32.61680696943391,48.52345876380646,-1
78,28800,4771.22998046875,4886.854725617835,4876.87247267877,4691.0234123506525,4428.614956386044,4165.278045373011,3927.619890503837,-39.198839191997735,45.36156975023912,1
79,29600,4838.5400390625,4877.191788306769,4873.221764715316,4696.808378104059,4436.732284755874,4171.97716968833,3931.2562982825143,-37.768695656675916,49.871643907265366,-1
80,20600,4822.14990234375,4866.183411114165,4868.3577778227855,4701.723731995811,4444.364316787317,4178.446550112762,3934.812759775773,-36.64711449397515,48.815006190232076,1
81,22200,4894.58984375,4871.864697641333,4870.8560698158535,4709.2871089273485,4453.279673756875,4185.572354029551,3938.64420522078,-30.025275136900795,53.503887757635866,1
82,38800,4989.0400390625,4895.299765925567,4882.111685934582,4720.257812069904,4463.888789901541,4193.567057363212,3942.837402162264,-18.830031602615826,58.80298415725158,1
83,30800,5044.81982421875,4925.203777584204,4897.607699104503,4732.985734114956,4475.392374739505,4202.037234147845,3947.2365335876393,-7.780077881042715,61.5873010479019,1
84,51200,5160.85009765625,4972.333041598613,4922.678403728479,4749.764728763635,4488.965794995282,4211.577660650417,3952.08129831446,6.462331944608501,66.63832989581397,1
85,33400,5186.080078125,5015.0824489038905,4947.764277480528,4766.875134620943,4502.770038225573,4221.274202117826,3957.007441148035,16.14970921769369,67.63490981002792,1
86,25400,5221.89990234375,5056.445939591862,4973.8724322294065,4784.719243159093,4517.010233554646,4231.23067674694,3962.0569120510118,23.113262642449598,69.04854278248396,0
87,32200,5225.89990234375,5090.33673214224,4997.875048430773,4802.0204454800605,4531.047652738589,4241.127882971785,3967.1021934493856,25.921188425434195,69.210271420691,-1
88,31400,5131.72021484375,5098.613428682543,5010.622207136771,4814.949848200205,4542.942158918889,4249.989498214291,3971.7513671874867,19.652573278684258,61.113285264090784,0
89,29400,5131.5400390625,5105.1987507585345,5022.138191129698,4827.365149802648,4554.597562486089,4258.761145386911,3976.3812620851913,13.977606331465537,61.09855848878943,1
90,21600,5229.33984375,5130.026969356828,5041.87168185544,4843.12886329078,4567.958795778444,4268.418644873112,3981.38309275052,15.193213381854576,65.90175459823412,1
91,29000,5285.5400390625,5161.129583297963,5065.078192065636,4860.478321164181,4582.168325348426,4278.539255760568,3986.589308105059,17.974556298457912,68.32224590981859,1
92,25600,5299.9599609375,5188.895658825871,5087.447884339147,4877.712895272938,4596.382021102665,4288.702645861832,3991.832304723153,18.88418243689216,68.93164186150541,1
93,26400,5315.81005859375,5214.278538779447,5109.196662839586,4894.893176187479,4610.6281208549635,4298.922620117871,3997.1176450579655,18.62119826024518,69.62337474790597,1
94,24400,5390.8798828125,5249.598807586059,5136.023636170339,4914.343635270814,4626.078650794717,4309.787866512842,4002.681566166766,21.37385384406646,72.72124231961506,1
95,30800,5437.0498046875,5287.089007006347,5164.692795076736,4934.84191642441,4642.137485525267,4321.004403211097,4008.4075870790243,23.97931566431275,74.44723760768606,-1
96,23600,5418.22998046875,5313.317201698827,5188.839193685499,4953.798311092815,4657.50565374197,4331.922070646497,4014.03562058557,22.153789192505087,72.4353366060846,1
97,30800,5455.0,5341.653761359062,5214.187841905927,4973.453279285254,4673.297620994604,4343.096975416183,4019.7879733976038,21.143823209233688,73.91838550823157,1
98,33000,5541.35009765625,5381.593028618499,5245.346151977386,4995.7237427507835,4690.4867789483,4355.0198920553885,4025.8620736940456,23.813872533660827,77.04220928789603,1
99,29200,5577.9599609375,5420.8664150823,5277.023657592636,5018.556535620851,4708.0605053243235,4367.188449954713,4032.05807324392,25.421933573465935,78.23257151905935,0
100,29000,5564.330078125,5449.559147690839,5304.386173833814,5039.9594196406215,4725.016338449089,4379.100306951433,4038.1749275548223,23.01593875826211,76.63933780401474,1
101,30800,5641.919921875,5488.031302527672,5336.532245075832,5063.565713845891,4743.172845051582,4391.665676254155,4044.577103180851,23.989109585483305,79.23220200687805,1
102,24400,5699.240234375,5530.273088897138,5371.0758631043245,5088.4941264156605,4762.104872562936,4404.676368374761,4051.1825448223444,25.68103058491002,80.91729158391799,1
